id,title,price_text,price_value,currency,location,date_posted,condition,category,seller_type,url,image_url,search_query,page_number,item_number,scraped_at,source
iphone 13_1_1,New Apple iPhone 13 128 GB,"ETB 62,000",62000.0,ETB,"Addis Ababa, Bole",Any time,New,Mobile Phones,Unknown,https://jiji.com.et/bole/mobile-phones/new-apple-iphone-13-128-gb-v5QQCdEW0iMPQwkyb8plCPG8.html?page=1&pos=1&cur_pos=1&ads_per_page=21&ads_count=2262&lid=LsuG2ysAb_X_UIpb&indexPosition=0,https://pictures-ethiopia.jijistatic.com/8819473_MzAwLTYyOS1iNTA0ODdiZjdi.webp,iphone 13,1,1,2026-01-09T14:53:28.029622,Jiji Ethiopia
iphone 13_1_2,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone 13,1,2,2026-01-09T14:53:28.030586,Jiji Ethiopia
iphone 13_1_3,No Title,Price not listed,,ETB,Location not specified,Any time,Unknown,Other,Unknown,,,iphone 13,1,3,2026-01-09T14:53:28.034575,Jiji Ethiopia
iphone 13_1_4,No Title,Price not listed,,ETB,Location not specified,Any time,Unknown,Other,Unknown,,,iphone 13,1,4,2026-01-09T14:53:28.038804,Jiji Ethiopia
iphone 13_1_5,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone 13,1,5,2026-01-09T14:53:28.040788,Jiji Ethiopia
iphone 13_1_6,No Title,Price not listed,,ETB,Location not specified,Any time,Unknown,Other,Unknown,,,iphone 13,1,6,2026-01-09T14:53:28.043781,Jiji Ethiopia
iphone 13_1_7,New Apple iPhone 13 128 GB,"ETB 62,000",62000.0,ETB,"Addis Ababa, Bole",Recently,New,Mobile Phones,Unknown,https://jiji.com.et/bole/mobile-phones/new-apple-iphone-13-128-gb-v5QQCdEW0iMPQwkyb8plCPG8.html?page=1&pos=1&cur_pos=1&ads_per_page=21&ads_count=2262&lid=LsuG2ysAb_X_UIpb&indexPosition=0,https://pictures-ethiopia.jijistatic.com/8819473_MzAwLTYyOS1iNTA0ODdiZjdi.webp,iphone 13,1,7,2026-01-09T14:53:28.108142,Jiji Ethiopia
iphone 13_1_8,New Apple iPhone 13 128 GB,"ETB 62,000",62000.0,ETB,"Addis Ababa, Bole",Recently,New,Mobile Phones,Unknown,https://jiji.com.et/bole/mobile-phones/new-apple-iphone-13-128-gb-v5QQCdEW0iMPQwkyb8plCPG8.html?page=1&pos=1&cur_pos=1&ads_per_page=21&ads_count=2262&lid=LsuG2ysAb_X_UIpb&indexPosition=0,https://pictures-ethiopia.jijistatic.com/8819473_MzAwLTYyOS1iNTA0ODdiZjdi.webp,iphone 13,1,8,2026-01-09T14:53:28.174473,Jiji Ethiopia
iphone 13_1_9,New Apple iPhone 13 128 GB,"ETB 62,000",62000.0,ETB,"Addis Ababa, Bole",Recently,New,Mobile Phones,Unknown,https://jiji.com.et/bole/mobile-phones/new-apple-iphone-13-128-gb-v5QQCdEW0iMPQwkyb8plCPG8.html?page=1&pos=1&cur_pos=1&ads_per_page=21&ads_count=2262&lid=LsuG2ysAb_X_UIpb&indexPosition=0,https://pictures-ethiopia.jijistatic.com/8819473_MzAwLTYyOS1iNTA0ODdiZjdi.webp,iphone 13,1,9,2026-01-09T14:53:28.178462,Jiji Ethiopia
iphone 13_1_10,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,https://pictures-ethiopia.jijistatic.com/8819473_MzAwLTYyOS1iNTA0ODdiZjdi.webp,iphone 13,1,10,2026-01-09T14:53:28.180457,Jiji Ethiopia
iphone 13_1_11,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,https://pictures-ethiopia.jijistatic.com/8819473_MzAwLTYyOS1iNTA0ODdiZjdi.webp,iphone 13,1,11,2026-01-09T14:53:28.181454,Jiji Ethiopia
iphone 13_1_12,New Apple iPhone 13 128 GB,"ETB 62,000",62000.0,ETB,"Addis Ababa, Bole",Recently,New,Mobile Phones,Unknown,,https://assets.jijistatic.com/static/img/premium-landing/premium.svg,iphone 13,1,12,2026-01-09T14:53:28.183448,Jiji Ethiopia
iphone 13_1_13,New Apple iPhone 13 128 GB,"ETB 62,000",62000.0,ETB,"Addis Ababa, Bole",Recently,New,Mobile Phones,Unknown,,https://assets.jijistatic.com/static/img/premium-landing/premium.svg,iphone 13,1,13,2026-01-09T14:53:28.186440,Jiji Ethiopia
iphone 13_1_14,New Apple iPhone 13 128 GB,"ETB 62,000",62000.0,ETB,Location not specified,Recently,New,Mobile Phones,Unknown,,,iphone 13,1,14,2026-01-09T14:53:28.187438,Jiji Ethiopia
iphone 13_1_15,No Title,"ETB 62,000",62000.0,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone 13,1,15,2026-01-09T14:53:28.188435,Jiji Ethiopia
iphone 13_1_16,No Title,"ETB 62,000",62000.0,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone 13,1,16,2026-01-09T14:53:28.188435,Jiji Ethiopia
iphone 13_1_17,No Title,"ETB 62,000",62000.0,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone 13,1,17,2026-01-09T14:53:28.189432,Jiji Ethiopia
iphone 13_1_18,No Title,"ETB 62,000",62000.0,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone 13,1,18,2026-01-09T14:53:28.189432,Jiji Ethiopia
iphone 13_1_19,New Apple iPhone 13 128 GB,Price not listed,,ETB,Location not specified,Recently,New,Mobile Phones,Unknown,,,iphone 13,1,19,2026-01-09T14:53:28.190430,Jiji Ethiopia
iphone 13_1_20,New Apple iPhone 13 128 GB,Price not listed,,ETB,Location not specified,Recently,New,Mobile Phones,Unknown,,,iphone 13,1,20,2026-01-09T14:53:28.191427,Jiji Ethiopia
iphone 13_1_21,New Apple iPhone 13 128 GB,Price not listed,,ETB,Location not specified,Recently,New,Mobile Phones,Unknown,,,iphone 13,1,21,2026-01-09T14:53:28.192425,Jiji Ethiopia
iphone 13_1_22,No Title,Price not listed,,ETB,"Addis Ababa, Bole",Recently,Unknown,Other,Unknown,,https://assets.jijistatic.com/static/img/premium-landing/premium.svg,iphone 13,1,22,2026-01-09T14:53:28.194419,Jiji Ethiopia
iphone 13_1_23,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone 13,1,23,2026-01-09T14:53:28.195417,Jiji Ethiopia
iphone 13_1_24,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone 13,1,24,2026-01-09T14:53:28.196414,Jiji Ethiopia
iphone 13_1_25,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone 13,1,25,2026-01-09T14:53:28.196414,Jiji Ethiopia
iphone 13_1_26,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone 13,1,26,2026-01-09T14:53:28.197411,Jiji Ethiopia
iphone 13_1_27,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,,iphone 13,1,27,2026-01-09T14:53:28.198408,Jiji Ethiopia
iphone 13_1_28,No Title,Price not listed,,ETB,"Addis Ababa, Bole",Recently,Unknown,Other,Unknown,,https://assets.jijistatic.com/static/img/premium-landing/premium.svg,iphone 13,1,28,2026-01-09T14:53:28.199406,Jiji Ethiopia
iphone 13_1_29,No Title,Price not listed,,ETB,"Addis Ababa, Bole",Recently,Unknown,Other,Unknown,,,iphone 13,1,29,2026-01-09T14:53:28.200403,Jiji Ethiopia
iphone 13_1_30,No Title,Price not listed,,ETB,"Addis Ababa, Bole",Recently,Unknown,Other,Unknown,,,iphone 13,1,30,2026-01-09T14:53:28.200403,Jiji Ethiopia
iphone 13_1_31,No Title,Price not listed,,ETB,"Addis Ababa, Bole",Recently,Unknown,Other,Unknown,,,iphone 13,1,31,2026-01-09T14:53:28.201400,Jiji Ethiopia
iphone 13_1_32,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,https://assets.jijistatic.com/static/img/premium-landing/premium.svg,iphone 13,1,32,2026-01-09T14:53:28.202398,Jiji Ethiopia
iphone 13_1_33,No Title,Price not listed,,ETB,Location not specified,Recently,Unknown,Other,Unknown,,https://assets.jijistatic.com/static/img/premium-landing/premium.svg,iphone 13,1,33,2026-01-09T14:53:28.203395,Jiji Ethiopia
