title,price_text,price_birr,scraped_at,source,page
Xiaomi Redmi K40 256 GB White,"ETB 24,500",,2025-12-28T15:21:26.888899,Jiji Ethiopia,1
Samsung Galaxy S10 512 GB,"ETB 22,500",,2025-12-28T15:21:26.888899,Jiji Ethiopia,1
Tecno Spark 10 5G 256 GB Black,"ETB 15,000",,2025-12-28T15:21:26.888899,Jiji Ethiopia,1
New Samsung Galaxy F05 64 GB Blue,"ETB 14,500",,2025-12-28T15:21:26.888899,Jiji Ethiopia,1
New Nokia 5310 XpressMusic,"ETB 5,500",,2025-12-28T15:21:26.888899,Jiji Ethiopia,1
New Infinix Hot 50i 128 GB Silver,"ETB 16,900",,2025-12-28T15:21:26.888899,Jiji Ethiopia,1
New Porsche Taycan Cross Turismo Turbo Cross Turismo AWD 2025 Black,"ETB 35,000,000",,2025-12-28T15:21:26.888899,Jiji Ethiopia,1
Toyota Sequoia 2023 Gold,"ETB 7,000,000",,2025-12-28T15:21:26.888899,Jiji Ethiopia,1
Hummer H3 2006 Matt Black,"ETB 6,500,000",,2025-12-28T15:21:26.888899,Jiji Ethiopia,1
Toyota Yaris Cross 2024 Gray,"ETB 2,700,000",,2025-12-28T15:21:26.888899,Jiji Ethiopia,1
Toyota Corolla 2003 Blue,"ETB 1,650,000",,2025-12-28T15:21:26.888899,Jiji Ethiopia,1
New Server 16GB HDD 512GB,"ETB 15,000",,2025-12-28T15:21:26.888899,Jiji Ethiopia,1
New Laptop Lenovo Ideapad 3 8GB Intel Core I5 SSD 256GB,"ETB 25,000",,2025-12-28T15:21:26.888899,Jiji Ethiopia,1
New Laptop HP Pavilion 15 8GB AMD Ryzen 5 SSD 512GB,"ETB 62,000",,2025-12-28T15:21:26.888899,Jiji Ethiopia,1
New Server 8GB Apple M2 SSD 256GB,"ETB 180,000",,2025-12-28T15:21:26.888899,Jiji Ethiopia,1
Realme GT Neo 5 256 GB White,"ETB 55,000",,2025-12-28T15:21:26.888899,Jiji Ethiopia,1
New Samsung Galaxy A16 128 GB Black,"ETB 22,500",,2025-12-28T15:21:26.888899,Jiji Ethiopia,1
OnePlus 11 256 GB Black,"ETB 54,500",,2025-12-28T15:21:26.888899,Jiji Ethiopia,1
New Samsung Galaxy S21+ 5G 128 GB,"ETB 33,999",,2025-12-28T15:21:26.888899,Jiji Ethiopia,1
New Asus ROG Phone 3 512 GB Black,"ETB 37,500",,2025-12-28T15:21:26.888899,Jiji Ethiopia,1
