title,price_text,price_birr,scraped_at,source,page
New Laptop HP ZBook Firefly G8 16GB Intel Core I7 SSD 512GB,"ETB 79,000",,2026-01-01T13:22:10.234670,Jiji Ethiopia,2
Oppo Reno 5 128 GB Black,"ETB 16,500",,2026-01-01T13:22:10.234670,Jiji Ethiopia,2
Tecno Spark 10 5G 256 GB Black,"ETB 15,000",,2026-01-01T13:22:10.235667,Jiji Ethiopia,2
New Samsung Galaxy Note 10 5G 256 GB Black,"ETB 29,999",,2026-01-01T13:22:10.235667,Jiji Ethiopia,2
New Nokia 5710 XpressAudio,"ETB 5,500",,2026-01-01T13:22:10.235667,Jiji Ethiopia,2
New Nokia 5310 XpressMusic,"ETB 5,500",,2026-01-01T13:22:10.235667,Jiji Ethiopia,2
Hyundai Bayon 2021 Silver,"ETB 3,650,000",,2026-01-01T13:22:10.235667,Jiji Ethiopia,2
Toyota FJ Cruiser 2008 Brown,"ETB 5,000,000",,2026-01-01T13:22:10.236664,Jiji Ethiopia,2
Hyundai Creta 2021 Gray,"ETB 4,800,000",,2026-01-01T13:22:10.236664,Jiji Ethiopia,2
Hyundai I10 2021 Brown,"ETB 2,650,000",,2026-01-01T13:22:10.236664,Jiji Ethiopia,2
Jetour X70 Plus 2022 White,"ETB 2,500,000",,2026-01-01T13:22:10.236664,Jiji Ethiopia,2
Hyundai Elantra 2017 Silver,"ETB 1,950,000",,2026-01-01T13:22:10.236664,Jiji Ethiopia,2
New Laptop Lenovo Ideapad 3 8GB Intel Core I5 SSD 256GB,"ETB 25,000",,2026-01-01T13:22:10.236664,Jiji Ethiopia,2
New Laptop HP Stream Notebook 16GB Intel Core I7 SSD 512GB,"ETB 820,000",,2026-01-01T13:22:10.237661,Jiji Ethiopia,2
Desktop Computer Dell OptiPlex 7010 16GB Intel Core I7 HDD+SSD 1T,"ETB 31,000",,2026-01-01T13:22:10.237661,Jiji Ethiopia,2
New Server 8GB SSD 256GB,"ETB 450,000",,2026-01-01T13:22:10.237661,Jiji Ethiopia,2
Xiaomi Redmi K40 256 GB White,"ETB 24,500",,2026-01-01T13:22:13.028278,Jiji Ethiopia,3
New Samsung Galaxy S10 5G 256 GB Purple,"ETB 26,500",,2026-01-01T13:22:13.028278,Jiji Ethiopia,3
OnePlus 11 256 GB Black,"ETB 54,500",,2026-01-01T13:22:13.028278,Jiji Ethiopia,3
New Samsung Galaxy F05 64 GB Blue,"ETB 14,500",,2026-01-01T13:22:13.028278,Jiji Ethiopia,3
New Asus ROG Phone 3 512 GB Black,"ETB 37,500",,2026-01-01T13:22:13.029131,Jiji Ethiopia,3
Tecno Spark 20 128 GB Bronze,"ETB 11,000",,2026-01-01T13:22:13.029131,Jiji Ethiopia,3
Toyota 4-Runner 1999 White,"ETB 1,850,000",,2026-01-01T13:22:13.029131,Jiji Ethiopia,3
New Porsche Taycan Cross Turismo Turbo Cross Turismo AWD 2025 Black,"ETB 35,000,000",,2026-01-01T13:22:13.029131,Jiji Ethiopia,3
Toyota Yaris Cross 2024 Gray,"ETB 2,700,000",,2026-01-01T13:22:13.030132,Jiji Ethiopia,3
Mitsubishi Attrage 2022 White,"ETB 2,680,000",,2026-01-01T13:22:13.030132,Jiji Ethiopia,3
Toyota Yaris Base Sedan 4dr 2010 Silver,"ETB 1,600,000",,2026-01-01T13:22:13.030132,Jiji Ethiopia,3
