title,price,scraped_at,source
Xiaomi Redmi K40 256 GB White,"ETB 24,500",2025-12-28T12:52:56.628712,Jiji Ethiopia
Samsung Galaxy S10 512 GB,"ETB 22,500",2025-12-28T12:52:56.628712,Jiji Ethiopia
Tecno Spark 10 5G 256 GB Black,"ETB 15,000",2025-12-28T12:52:56.628712,Jiji Ethiopia
